,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
NME6,0.025458697905144843,5.254581592284424e-06,3.362695e-05,1.26882266360262e-07,0.009900990099009901,2.347594103688513e-05,5.91066545813771e-06,1.396868987452426e-07,0.010144457068657686
RAB39A,0.02545289611927004,5.278894245508425e-06,3.362695e-05,2.984915202786098e-07,0.009900990099009901,2.599992956812634e-05,5.935788132130913e-06,3.2645809727882954e-07,0.010144457068657686
ZNF175,0.025268843149331796,6.108384559166957e-06,3.362695e-05,2.4379602114876775e-08,0.009900990099009901,2.1814497987280625e-05,6.865924944736182e-06,2.700842184070544e-08,0.010144457068657686
KRTAP12-4,0.025000654729651194,7.5428011523381855e-06,3.362695e-05,2.052707357425021e-07,0.009900990099009901,2.3930559315093023e-05,8.475057474537287e-06,2.2491315092312137e-07,0.010144457068657686
TMEM186,0.02495831891083189,7.79672265893705e-06,3.362695e-05,8.293847830742607e-10,0.009900990099009901,1.7660647893167644e-05,8.7570827318649e-06,9.446295934786569e-10,0.010144457068657686
ZBTB9,0.024933134104899,7.951620018542549e-06,3.362695e-05,1.8140132618249538e-08,0.009900990099009901,2.1123021169160193e-05,8.927717086686992e-06,2.0148240597833624e-08,0.010144457068657686
SULT2B1,0.02491366786775882,8.073351104864734e-06,3.362695e-05,1.4434790696071786e-07,0.009900990099009901,2.445729582877999e-05,9.061000117693304e-06,1.5874036689228506e-07,0.010144457068657686
SPRTN,0.024890934941510946,8.217758838191536e-06,3.362695e-05,6.492665294288713e-10,0.009900990099009901,1.697815821376894e-05,9.219624724971806e-06,7.423016723653254e-10,0.010144457068657686
KCNH2,0.024883653393691422,8.264532100898947e-06,3.362695e-05,5.943104119943143e-09,0.009900990099009901,1.8207520921277746e-05,9.268634131849285e-06,6.667656080714072e-09,0.010144457068657686
AMACR,0.024863241432330513,8.397005374694011e-06,3.362695e-05,1.7080892256160496e-09,0.009900990099009901,1.671406383011323e-05,9.41368315548656e-06,1.9322276307873862e-09,0.010144457068657686
DFFB,0.02485047025053345,8.480916668718308e-06,3.362695e-05,1.0367927294474555e-08,0.009900990099009901,2.0006648228851474e-05,9.504202467745583e-06,1.1571347426868922e-08,0.010144457068657686
SCN10A,0.02477430364138635,8.9981942182904e-06,3.362695e-05,4.594991054318598e-12,0.009900990099009901,1.3752261678462519e-05,1.0080127951781628e-05,5.476747382978067e-12,0.010144457068657686
SELENOV,0.024725889895917747,9.342470005058168e-06,3.362695e-05,2.4043333990420024e-10,0.009900990099009901,1.7231530289034155e-05,1.046189250286469e-05,2.7699693537350257e-10,0.010144457068657686
BAD,0.024719659574627042,9.38767520430872e-06,3.362695e-05,9.920679988617565e-08,0.009900990099009901,2.2953826527482512e-05,1.050859164661424e-05,1.0937905169368869e-07,0.010144457068657686
ZNF227,0.024714387293790347,9.426091853947938e-06,3.362695e-05,1.9554613484018546e-10,0.009900990099009901,1.6011898607819533e-05,1.0547659664992098e-05,2.258907988142304e-10,0.010144457068657686
FBXO36,0.024697688559862523,9.548758403199464e-06,3.362695e-05,6.869006141663192e-09,0.009900990099009901,2.0359674055132033e-05,1.0680937811185082e-05,7.694928463401633e-09,0.010144457068657686
GLYCTK,0.0246592565889693,9.83687637579056e-06,3.362695e-05,1.234010293948984e-07,0.009900990099009901,2.3162214008704295e-05,1.0999116335211212e-05,1.3590421739526254e-07,0.010144457068657686
TNP1,0.02456662735522695,1.0565710880650059e-05,3.362695e-05,5.127205326971307e-10,0.009900990099009901,1.5981682756258216e-05,1.1809661938133448e-05,5.87533077956987e-10,0.010144457068657686
TRPM5,0.024485535804545627,1.1245704423124003e-05,3.362695e-05,2.6078793347039664e-08,0.009900990099009901,2.049136912292767e-05,1.2565032874998887e-05,2.888016981953451e-08,0.010144457068657686
IDO2,0.024467082890364162,1.140615705153003e-05,3.362695e-05,1.6224519172602925e-08,0.009900990099009901,1.9069089566829264e-05,1.2739564837896534e-05,1.8033922755764644e-08,0.010144457068657686
KRT76,0.024413383819005534,1.1885571448821963e-05,3.362695e-05,1.5981897050210137e-07,0.009900990099009901,2.274766427920329e-05,1.3270083493288384e-05,1.7556093427546837e-07,0.010144457068657686
ZKSCAN4,0.02436774365046061,1.2308051659193353e-05,3.362695e-05,2.352235739522257e-09,0.009900990099009901,1.784592124060468e-05,1.3736664798206866e-05,2.6548936111989357e-09,0.010144457068657686
MAB21L4,0.024337357381447527,1.2597210842124618e-05,3.362695e-05,7.749036079474081e-09,0.009900990099009901,1.815972252886226e-05,1.4054158618956435e-05,8.671058649169057e-09,0.010144457068657686
SLC35C1,0.024319502563442855,1.2770121294858328e-05,3.362695e-05,2.3973649843078704e-08,0.009900990099009901,1.8455271056290872e-05,1.4241770960808545e-05,2.6568507399052868e-08,0.010144457068657686
MLNR,0.02431458285643165,1.281816021658777e-05,3.362695e-05,2.777446161950081e-09,0.009900990099009901,1.8122945256088196e-05,1.428622727843651e-05,3.1301046152705647e-09,0.010144457068657686
GP5,0.0243144450875158,1.2819507944517028e-05,3.362695e-05,4.972372513734058e-10,0.009900990099009901,1.635791088467712e-05,1.428622727843651e-05,5.702262057034471e-10,0.010144457068657686
ZRANB3,0.024303989665201055,1.2922182543673166e-05,3.362695e-05,7.870123441833243e-10,0.009900990099009901,1.7196543545243695e-05,1.439530175678407e-05,8.973914984986594e-10,0.010144457068657686
KRTAP10-10,0.02422313642609447,1.3743009421363084e-05,3.362695e-05,1.6217410714336467e-07,0.009900990099009901,2.3528380447487013e-05,1.5304019400181607e-05,1.7808284093341654e-07,0.010144457068657686
ZNF548,0.02419870822681964,1.4000602333030798e-05,3.362695e-05,1.614429989693633e-08,0.009900990099009901,1.9502906844000995e-05,1.5585086085006454e-05,1.795140833610415e-08,0.010144457068657686
CHCHD4,0.02414883740375346,1.4540806450580313e-05,3.362695e-05,3.0475921786177196e-10,0.009900990099009901,1.5148586145950468e-05,1.6180422608212515e-05,3.507010562275857e-10,0.010144457068657686
CCNQ,0.024063761408082477,1.5508366657535078e-05,3.362695e-05,1.0166895181296098e-07,0.009900990099009901,2.0375868789174236e-05,1.7250685937191408e-05,1.1205248179238904e-07,0.010144457068657686
PDCL3,0.02405258745104777,1.563990165098783e-05,3.362695e-05,8.266639595078118e-10,0.009900990099009901,1.6727633772455094e-05,1.7390550390275573e-05,9.41888294160059e-10,0.010144457068657686
IMMP1L,0.024032864263163943,1.5874665352022532e-05,3.362695e-05,1.2241783364785874e-08,0.009900990099009901,1.8838384934440373e-05,1.7645052262344424e-05,1.3632275461899637e-08,0.010144457068657686
GAS2L2,0.024023056754986585,1.5992646121065768e-05,3.362695e-05,9.97161131444102e-10,0.009900990099009901,1.6205919522494122e-05,1.7769606801184185e-05,1.1331376493682978e-09,0.010144457068657686
C5orf51,0.023796319677411776,1.896414584079409e-05,3.362695e-05,3.795243908033541e-08,0.009900990099009901,1.926758868233987e-05,2.106347187055989e-05,4.198278659329138e-08,0.010144457068657686
IL13,0.02372525954572796,1.999855468448608e-05,3.362695e-05,3.166845859992051e-07,0.009900990099009901,2.3355811463462504e-05,2.2204168783663305e-05,3.461033726767269e-07,0.010144457068657686
BCL2L15,0.0236545807134374,2.1080377078708246e-05,3.362695e-05,2.168830670612465e-10,0.009900990099009901,1.4072431067391704e-05,2.3389827393949435e-05,2.503459796782376e-10,0.010144457068657686
FCRLB,0.023654475310787945,2.1082031091079756e-05,3.362695e-05,1.9183506116959848e-08,0.009900990099009901,1.872738712290455e-05,2.3389827393949435e-05,2.1299229589518707e-08,0.010144457068657686
KRTAP6-3,0.023629606377540316,2.147574299748989e-05,3.362695e-05,8.960870878649274e-08,0.009900990099009901,2.0469268993422856e-05,2.381782957207751e-05,9.883313469098464e-08,0.010144457068657686
REN,0.023594836548507376,2.203790856281085e-05,3.362695e-05,1.5250418294865398e-07,0.009900990099009901,2.212152558842091e-05,2.4432271133936638e-05,1.6758701422929007e-07,0.010144457068657686
ZNF853,0.02353282374404653,2.3075355006563214e-05,3.362695e-05,2.0510302345400078e-09,0.009900990099009901,1.5849561261092314e-05,2.5572983014292442e-05,2.3166757167244064e-09,0.010144457068657686
PLEKHF1,0.02337267094479681,2.59731021090559e-05,3.362695e-05,1.6475177710972844e-07,0.009900990099009901,2.1101972822824053e-05,2.8773746797329285e-05,1.8084717575162287e-07,0.010144457068657686
